note,start,velocity,beat,bar,pitch_class
37,0,102,0.0,0,1
53,0,102,0.0,0,5
60,0,102,0.0,0,0
63,0,102,0.0,0,3
68,0,102,0.0,0,8
37,1920,102,4.0,1,1
53,1920,102,4.0,1,5
59,1920,102,4.0,1,11
63,1920,102,4.0,1,3
68,1920,102,4.0,1,8
42,3840,102,8.0,2,6
54,3840,102,8.0,2,6
58,3840,102,8.0,2,10
63,3840,102,8.0,2,3
68,3840,102,8.0,2,8
42,5760,102,12.0,3,6
54,5760,102,12.0,3,6
57,5760,102,12.0,3,9
63,5760,102,12.0,3,3
68,5760,102,12.0,3,8
41,7680,102,16.0,4,5
56,7680,102,16.0,4,8
60,7680,102,16.0,4,0
63,7680,102,16.0,4,3
68,7680,102,16.0,4,8
46,8640,102,18.0,4,10
56,8640,102,18.0,4,8
58,8640,102,18.0,4,10
62,8640,102,18.0,4,2
66,8640,102,18.0,4,6
39,9600,102,20.0,5,3
54,9600,102,20.0,5,6
58,9600,102,20.0,5,10
61,9600,102,20.0,5,1
65,9600,102,20.0,5,5
44,10560,102,22.0,5,8
54,10560,102,22.0,5,6
58,10560,102,22.0,5,10
60,10560,102,22.0,5,0
65,10560,102,22.0,5,5
37,11520,102,24.0,6,1
53,11520,102,24.0,6,5
56,11520,102,24.0,6,8
58,11520,102,24.0,6,10
63,11520,102,24.0,6,3
38,13440,102,28.0,7,2
54,13440,102,28.0,7,6
57,13440,102,28.0,7,9
60,13440,102,28.0,7,0
64,13440,102,28.0,7,4
